区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,金鱼池中区 ,3室1厅,77.19,640,82913,房本满五年,东西,毛坯,无电梯,中楼层(共6层)1987年建板楼,,-
东城,交道口东大街 ,3室1厅,93.23,1180,126569,房本满五年,南北,简装,有电梯,底层(共12层)2003年建板塔结合,,-
东城,青年湖北里 ,1室1厅,60.76,560,92166,房本满五年,南,简装,有电梯,底层(共18层)1999年建塔楼,,-
东城,和平里二区 ,2室1厅,80.57,828,102768,房本满五年,西南,精装,有电梯,中楼层(共20层)2006年建塔楼,,-
东城,华府景园 ,2室2厅,102.87,1050,102071,房本满五年,西,精装,有电梯,中楼层(共16层)2001年建塔楼,,-
东城,远洋德邑 ,1室1厅,61.12,520,85079,,西北,其他,有电梯,中楼层(共13层)2003年建板塔结合,,-
东城,万国城MOMA ,3室1厅,140.06,1600,114237,,西北,精装,有电梯,中楼层(共26层)2004年建塔楼,,-
东城,海晟国际公寓 ,1室1厅,73.32,840,114567,房本满五年,南,精装,有电梯,中楼层(共22层)2007年建板塔结合,,-
东城,东交民巷32号院 ,3室1厅,71.28,784,109989,房本满五年,南北,其他,有电梯,中楼层(共13层)1979年建板塔结合,,-
东城,兴隆都市馨园 ,3室1厅,87.48,920,105167,房本满五年,南北,精装,无电梯,高楼层(共6层)2003年建板塔结合,,-
东城,和平里六区 ,3室1厅,123.4,1150,93193,房本满五年,东北,精装,有电梯,底层(共17层)1998年建塔楼,,-
东城,地坛北里 ,2室1厅,83.51,850,101785,房本满五年,南北,其他,无,中楼层(共13层)1999年建板塔结合,,-
东城,十字坡西里 ,2室1厅,59.25,610,102954,房本满五年,南北,简装,无电梯,中楼层(共5层)1981年建板楼,,-
东城,宝润苑 ,4室2厅,266.93,1750,65561,房本满五年,东西,简装,有电梯,低楼层(共14层)1999年建板塔结合,,-
东城,广渠门内大街 ,3室1厅,77.91,750,96265,房本满五年,南北,精装,有电梯,低楼层(共14层)1987年建板塔结合,,-
东城,胡家园小区 ,3室1厅,82.51,780,94534,房本满五年,南北,精装,有电梯,中楼层(共20层)1992年建塔楼,,-
东城,美惠大厦 ,3室2厅,185.18,1160,62642,房本满五年,西,精装,有电梯,高楼层(共15层)1998年建板塔结合,,-
东城,青年湖北里 ,2室1厅,54.47,517,94915,房本满五年,南北,简装,无电梯,高楼层(共6层)1987年建板楼,,-
东城,幸福家园二期 ,3室3厅,123.87,1370,110600,房本满五年,南北,其他,有电梯,中楼层(共14层)2003年建板塔结合,,-
东城,建国门北大街 ,2室1厅,68.84,750,108949,房本满五年,东南,精装,无,中楼层(共17层)1990年建塔楼,,-
东城,民安小区东羊管胡同 ,2室1厅,76.93,800,103991,房本满五年,南北,简装,有电梯,中楼层(共14层)2002年建板塔结合,,-
东城,东直门内北小街8号院 ,2室1厅,86.56,980,113217,房本满五年,西南,精装,有电梯,中楼层(共13层)2003年建板塔结合,,-
东城,民旺园十九号院 ,2室2厅,79.59,760,95490,房本满五年,南北,简装,无电梯,高楼层(共7层)2000年建板楼,,-
东城,金世纪嘉园 ,1室1厅,78.4,750,95664,房本满五年,东南,简装,有电梯,中楼层(共18层)2003年建塔楼,,-
东城,北京上舍 ,4室2厅,202.45,2050,101260,房本满五年,南北,精装,有电梯,中楼层(共14层)2008年建板楼,,-
东城,和平里六区 ,2室1厅,86.5,830,95954,房本满五年,西南,精装,有电梯,高楼层(共16层)2000年建塔楼,,-
东城,和平里一区 ,2室1厅,60.79,590,97056,房本满五年,南北,简装,有电梯,低楼层(共11层)1990年建板塔结合,,-
东城,民安小区东直门内北小街 ,2室1厅,75.09,799,106406,房本满五年,东,简装,有电梯,高楼层(共14层)2003年建板楼,,-
东城,富贵园一区 ,3室2厅,161.16,2000,124101,房本满五年,东南北,简装,有电梯,中楼层(共9层)2003年建板楼,,-
东城,金鱼池西区 ,4室2厅,112.99,880,77883,房本满五年,南北,精装,无电梯,顶层(共6层)2002年建板塔结合,,-
东城,兴隆都市馨园 ,3室2厅,92.1,970,105321,房本满五年,东,简装,无电梯,低楼层(共6层)2003年建板塔结合,,-
东城,巷上嘉园 ,2室1厅,89.63,830,92603,房本满五年,东南北,精装,有电梯,中楼层(共12层)2005年建板塔结合,,-
东城,法华南里 ,3室2厅,107.03,980,91564,房本满五年,东南北,其他,无,高楼层(共6层)1993年建板楼,,-
东城,菊儿胡同 ,4室1厅,98.09,1180,120298,房本满五年,南北,简装,无电梯,高楼层(共6层)1987年建板楼,,-
东城,小羊宜宾胡同 ,3室1厅,81.31,820,100849,,东西,简装,无电梯,高楼层(共6层)1990年建板楼,,-
东城,国瑞城东区 ,1室1厅,58.18,610,104848,,南,简装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,东环居苑 ,2室2厅,99.23,850,85660,房本满五年,东南,精装,有电梯,低楼层(共18层)2004年建塔楼,,-
东城,金鱼池西区 ,4室2厅,135.05,1000,74047,房本满五年,南北,精装,无电梯,顶层(共6层)2003年建板塔结合,,-
东城,天坛东里南区 ,2室1厅,50.9,399,78389,房本满五年,南北,简装,有电梯,底层(共11层)1970年建板塔结合,,-
东城,新景家园东区 ,2室1厅,73.3,800,109141,房本满五年,南北,精装,有电梯,中楼层(共17层)2005年建板塔结合,,-
东城,竹杆胡同 ,3室1厅,91.64,930,101485,房本满五年,东西,简装,有电梯,中楼层(共16层)2003年建板塔结合,,-
东城,朝阳门南小街 ,2室1厅,69.3,820,118327,房本满五年,南,精装,有电梯,高楼层(共10层)2004年建板塔结合,,-
东城,富贵园三区 ,2室1厅,69.9,600,85837,房本满五年,东,简装,有电梯,顶层(共18层)2002年建塔楼,,-
东城,广渠家园 ,2室1厅,63.75,595,93334,房本满五年,东西,精装,有电梯,高楼层(共18层)2009年建板楼,,-
东城,海晟名苑 ,4室2厅,247.9,3300,133119,房本满五年,南北,精装,有电梯,高楼层(共17层)2004年建板楼,,-
东城,远洋德邑 ,2室1厅,110.95,960,86526,房本满五年,东北,其他,有电梯,中楼层(共22层)2002年建塔楼,,-
东城,小羊宜宾胡同 ,3室1厅,81.31,800,98389,房本满五年,东西,简装,无电梯,低楼层(共6层)1990年建板楼,,-
东城,交道口东大街 ,2室1厅,77.8,990,127250,房本满五年,东南,精装,有电梯,中楼层(共12层)2003年建板塔结合,,-
东城,崇文门东大街 ,2室1厅,59.97,630,105053,房本满五年,南北,其他,有电梯,中楼层(共14层)1980年建板楼,,-
东城,富莱茵花园 ,3室1厅,148.63,818,55036,房本满五年,西南,简装,无,底层(共21层)2001年建塔楼,,-
东城,和平里七区 ,2室1厅,53.83,560,104032,房本满五年,南,简装,无电梯,中楼层(共4层)1979年建板楼,,-
东城,海晟名苑 ,3室1厅,209.4,2720,129895,房本满五年,南北,精装,无,中楼层(共20层)2004年建板楼,,-
东城,安化南里 ,2室1厅,88.31,870,98517,房本满五年,西,精装,无,低楼层(共16层)2007年建塔楼,,-
东城,新奥洋房 ,4室1厅,180.81,1260,69687,房本满五年,南北,精装,有电梯,顶层(共8层)2005年建板楼,,-
东城,南岗子 ,2室1厅,57.87,570,98497,房本满五年,南北,简装,无电梯,中楼层(共6层)1988年建板楼,,-
东城,阳光都市 ,3室2厅,171.26,1650,96345,房本满五年,西南,精装,有电梯,中楼层(共25层)2000年建塔楼,,-
东城,北河沿大街 ,2室1厅,58.73,695,118339,房本满五年,南北,简装,无电梯,顶层(共6层)1987年建板楼,,-
东城,青年湖南街 ,2室1厅,69.32,660,95211,房本满五年,东西,简装,有电梯,顶层(共10层)1992年建板塔结合,,-
东城,后芳嘉园胡同 ,1室1厅,50.42,630,124951,房本满五年,南,精装,无电梯,低楼层(共6层)2002年建板楼,,-
东城,竹杆胡同 ,1室1厅,55.47,690,124392,房本满五年,南,简装,无电梯,中楼层(共6层)2003年建板楼,,-
东城,金世纪嘉园 ,3室1厅,132.33,1250,94461,房本满五年,南,简装,有电梯,顶层(共18层)2003年建塔楼,,-
东城,幸福南里 ,3室2厅,125.03,1100,87979,房本满五年,南北,精装,无电梯,顶层(共4层)1965年建板楼,,-
东城,大方家胡同 ,2室1厅,76.42,775,101414,,南北,简装,有电梯,低楼层(共16层)2003年建板塔结合,,-
东城,朝阳门南小街 ,1室1厅,55.1,685,124320,,南,精装,有电梯,低楼层(共16层)2004年建板塔结合,,-
